Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
cortex	AHL12	ATERF1_2	25	656	442	0.000121641	0.00417799	0.0537652	1	AT1G05680;AT1G07650;AT1G15625;AT1G15640;AT1G78100;AT2G15960;AT2G20120;AT2G20680;AT2G22470;AT2G36830;AT2G43340;AT2G44670;AT2G46930;AT3G05890;AT3G07460;AT3G24190;AT3G25760;AT3G61420;AT4G32480;AT4G35250;AT5G02270;AT5G15900;AT5G55850;AT5G65430;AT5G66580;
cortex	AHL12	ATHB12	16	664	442	0.0908328	0.363331	1	1	AT1G15625;AT1G52760;AT1G62660;AT1G76490;AT2G04780;AT2G16580;AT2G17680;AT3G05150;AT3G25760;AT3G55720;AT3G61420;AT4G12420;AT4G32480;AT5G14340;AT5G36180;AT5G40730;
cortex	AHL12	ATHB51	8	335	442	0.197236	0.507028	1	1	AT1G05680;AT1G12500;AT1G15640;AT2G17680;AT2G22470;AT2G44670;AT4G12520;AT5G02230;
cortex	AHL12	BZIP60	18	752	442	0.0801313	0.320525	1	1	AT1G05680;AT1G14330;AT1G14580;AT1G15640;AT1G19450;AT1G65840;AT2G16580;AT2G20880;AT3G24190;AT3G28740;AT4G35250;AT5G02270;AT5G14340;AT5G20280;AT5G55850;AT5G65090;AT5G65380;AT5G65430;
cortex	AHL12	BZIP60_2	16	695	442	0.121162	0.376396	1	1	AT1G15820;AT1G44170;AT1G57560;AT2G16580;AT2G22470;AT3G05890;AT3G09780;AT3G24190;AT4G12430;AT4G32480;AT4G35250;AT5G02270;AT5G55850;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	CCA1	13	980	442	0.833709	0.833709	1	1	AT1G10200;AT1G13210;AT1G32400;AT1G44170;AT1G76490;AT2G04780;AT2G15960;AT4G00430;AT4G24275;AT5G20280;AT5G23220;AT5G66580;AT5G67390;
cortex	AHL12	CCA1_2	14	789	442	0.441678	0.545921	1	1	AT1G07650;AT1G15820;AT1G21070;AT1G62660;AT2G04780;AT2G15960;AT2G16980;AT2G25770;AT2G38300;AT3G07460;AT4G20150;AT5G44020;AT5G65430;AT5G67390;
cortex	AHL12	DAG2	22	862	442	0.0323961	0.194377	1	1	AT1G01360;AT1G14460;AT1G19450;AT1G27670;AT1G30380;AT1G44170;AT1G47480;AT1G69930;AT2G16980;AT2G27820;AT2G43340;AT3G09780;AT3G55720;AT3G57800;AT4G10390;AT4G12420;AT4G30170;AT4G32480;AT5G02270;AT5G24410;AT5G40730;AT5G47140;
cortex	AHL12	DDF1	19	746	442	0.0453027	0.232899	1	1	AT1G01360;AT1G12500;AT1G14580;AT1G19450;AT1G32400;AT1G57560;AT1G78100;AT3G05890;AT3G07460;AT3G09780;AT3G18830;AT3G24190;AT3G61420;AT4G12430;AT5G02270;AT5G15900;AT5G23220;AT5G65090;AT5G65380;
cortex	AHL12	DEAR3	18	618	442	0.0162735	0.130188	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G27670;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G09780;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G12420;AT5G02270;AT5G65430;
cortex	AHL12	DEAR3_2	15	666	442	0.14754	0.442621	1	1	AT1G12500;AT1G15640;AT1G52760;AT1G57560;AT1G78100;AT2G15960;AT2G20880;AT2G36830;AT3G05890;AT3G55720;AT3G61420;AT4G12430;AT4G32480;AT5G02230;AT5G02270;
cortex	AHL12	DEAR4	18	678	442	0.0361696	0.217017	1	1	AT1G05680;AT1G12500;AT1G32400;AT1G57560;AT1G78100;AT2G04780;AT2G20120;AT2G20880;AT2G36830;AT3G05890;AT3G09780;AT3G24190;AT3G61420;AT4G12420;AT4G12430;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	DEAR4_2	16	617	442	0.0549787	0.274893	1	1	AT1G01360;AT1G27670;AT1G78100;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G09780;AT3G25760;AT3G55720;AT3G61420;AT4G32480;AT5G02270;AT5G65430;
cortex	AHL12	DOF5.7	9	668	442	0.783924	0.783924	1	1	AT1G12500;AT1G44170;AT2G26690;AT2G46930;AT4G00430;AT4G12430;AT4G19860;AT5G03150;AT5G65430;
cortex	AHL12	DOF5.7_2	11	790	442	0.766923	0.766923	1	1	AT1G21070;AT1G44830;AT2G44670;AT3G24190;AT3G28740;AT3G44860;AT5G02270;AT5G03150;AT5G24570;AT5G55850;AT5G65380;
cortex	AHL12	DREB2C	15	624	442	0.100657	0.376396	1	1	AT1G05680;AT1G26970;AT1G27670;AT1G78100;AT2G20680;AT2G36830;AT2G43340;AT2G46930;AT3G61420;AT4G35250;AT5G02270;AT5G20280;AT5G24410;AT5G55850;AT5G65430;
cortex	AHL12	DREB2C_2	16	657	442	0.0847279	0.338911	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G57560;AT2G04780;AT2G20120;AT2G20880;AT2G36830;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G61420;AT4G12430;AT5G02270;AT5G65430;
cortex	AHL12	ERF1	16	613	442	0.0524692	0.262346	1	1	AT1G05680;AT1G30380;AT2G20120;AT2G20880;AT2G30990;AT2G36830;AT2G43340;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G61420;AT4G32480;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	ETT	18	740	442	0.0713185	0.293328	1	1	AT1G07650;AT1G15820;AT1G21070;AT1G32400;AT1G52760;AT2G15960;AT2G20120;AT2G38300;AT2G46930;AT3G05890;AT3G24190;AT3G61420;AT4G01110;AT4G35250;AT5G03150;AT5G15900;AT5G36180;AT5G65430;
cortex	AHL12	ETT_2	15	703	442	0.197179	0.507028	1	1	AT1G05680;AT1G14330;AT1G19450;AT2G44670;AT3G07460;AT3G09780;AT3G18830;AT3G24120;AT3G24190;AT3G28740;AT3G61420;AT4G19860;AT5G02270;AT5G65380;AT5G66580;
cortex	AHL12	GATA12	20	673	442	0.0095729	0.0887962	1	1	AT1G12500;AT1G14460;AT1G15640;AT1G15820;AT1G21070;AT1G62790;AT1G65840;AT2G04780;AT2G16580;AT2G17680;AT2G20680;AT2G25770;AT3G05150;AT3G07460;AT3G24120;AT4G32480;AT5G03150;AT5G65430;AT5G66580;AT5G67390;
cortex	AHL12	GLK1	11	665	442	0.550802	0.550802	1	1	AT1G13210;AT1G15640;AT1G15820;AT1G78100;AT2G16580;AT2G16980;AT2G34070;AT3G05890;AT3G57800;AT4G20150;AT4G35320;
cortex	AHL12	GLK1_2	14	722	442	0.317803	0.545921	1	1	AT1G08630;AT1G14330;AT1G15820;AT1G26970;AT1G32400;AT1G44830;AT1G62975;AT2G20680;AT2G44670;AT3G28740;AT4G20150;AT5G24570;AT5G66580;AT5G67390;
cortex	AHL12	HSFB2A	11	645	442	0.509915	0.545921	1	1	AT1G15625;AT1G26970;AT1G62975;AT2G15960;AT2G20880;AT2G44670;AT2G46930;AT3G05890;AT5G19240;AT5G28010;AT5G65090;
cortex	AHL12	HSFB2A_2	13	771	442	0.520395	0.545921	1	1	AT1G01360;AT1G12500;AT2G36830;AT2G38300;AT3G05890;AT3G24120;AT4G00430;AT4G01110;AT4G19860;AT4G20150;AT5G28010;AT5G44020;AT5G63595;
cortex	AHL12	HSFC1	15	832	442	0.412894	0.545921	1	1	AT1G01360;AT1G12500;AT1G15625;AT1G44170;AT2G36830;AT3G05890;AT3G24120;AT4G00430;AT4G01110;AT4G20150;AT5G02230;AT5G28010;AT5G36180;AT5G44020;AT5G63595;
cortex	AHL12	HSFC1_2	7	620	442	0.893482	0.893482	1	1	AT1G26970;AT1G52760;AT2G44670;AT3G05890;AT3G61420;AT5G19240;AT5G47140;
cortex	AHL12	ICU4	10	421	442	0.166831	0.500493	1	1	AT1G05680;AT1G14580;AT1G52760;AT2G15960;AT2G17680;AT3G18830;AT3G61420;AT4G12520;AT5G40730;AT5G65090;
cortex	AHL12	KAN1	13	742	442	0.464749	0.545921	1	1	AT1G69150;AT2G16980;AT2G26690;AT2G34070;AT2G36830;AT3G44860;AT3G55720;AT4G00430;AT4G20150;AT5G23220;AT5G36180;AT5G66580;AT5G67390;
cortex	AHL12	KAN4	18	761	442	0.0871944	0.348778	1	1	AT1G13210;AT1G15625;AT1G47480;AT1G69930;AT2G16980;AT2G20880;AT2G25770;AT2G27820;AT2G36830;AT2G44670;AT2G46930;AT4G00430;AT4G12520;AT4G35320;AT5G02230;AT5G15900;AT5G19240;AT5G20280;
cortex	AHL12	KAN4_2	18	697	442	0.0451856	0.232899	1	1	AT1G08630;AT1G12500;AT1G13195;AT1G14330;AT1G44170;AT1G78100;AT2G16580;AT2G20880;AT2G25770;AT2G26690;AT2G27820;AT2G34070;AT4G12520;AT4G30170;AT5G23220;AT5G36180;AT5G47140;AT5G67390;
cortex	AHL12	LBD16	9	716	442	0.845195	0.845195	1	1	AT1G21070;AT1G27670;AT2G04780;AT2G38300;AT3G05150;AT3G05890;AT3G24120;AT4G32480;AT4G35250;
cortex	AHL12	MYB111	23	802	442	0.00857055	0.0857055	1	1	AT1G10200;AT1G12500;AT1G15625;AT1G27670;AT1G44170;AT1G47480;AT1G52760;AT1G69150;AT2G22470;AT2G27820;AT3G05890;AT3G09780;AT3G24190;AT3G45080;AT4G00430;AT4G19860;AT5G02270;AT5G15900;AT5G24410;AT5G63595;AT5G65380;AT5G66580;AT5G67390;
cortex	AHL12	MYB111_2	23	717	442	0.00226786	0.0362857	1	1	AT1G10200;AT1G12500;AT1G44170;AT1G47480;AT1G52760;AT1G69150;AT1G69930;AT2G04780;AT2G16580;AT2G17680;AT2G27820;AT3G05890;AT3G09780;AT3G45080;AT3G55720;AT4G00430;AT4G01110;AT4G19860;AT5G02270;AT5G15900;AT5G63595;AT5G66580;AT5G67390;
cortex	AHL12	MYB46	22	780	442	0.011953	0.107577	1	1	AT1G10200;AT1G12500;AT1G13195;AT1G44170;AT1G47480;AT1G52760;AT1G69150;AT1G69930;AT2G17680;AT2G22470;AT2G27820;AT3G05890;AT3G09780;AT3G24190;AT3G55720;AT4G00430;AT4G19860;AT5G02270;AT5G19240;AT5G65380;AT5G66580;AT5G67390;
cortex	AHL12	MYB46_2	16	679	442	0.104837	0.376396	1	1	AT1G01110;AT1G15820;AT1G52760;AT1G57560;AT1G78100;AT2G16580;AT2G27820;AT2G36830;AT3G05890;AT3G09780;AT3G55720;AT3G61420;AT4G35250;AT5G20280;AT5G24410;AT5G67390;
cortex	AHL12	MYB52	12	655	442	0.408639	0.545921	1	1	AT1G14460;AT1G21070;AT1G65840;AT1G69930;AT1G78100;AT2G20880;AT3G24190;AT3G44860;AT4G12420;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	MYB52_2	16	770	442	0.215868	0.507028	1	1	AT1G12500;AT1G13195;AT1G69150;AT2G04780;AT2G20680;AT2G26690;AT2G30990;AT3G05890;AT3G09780;AT3G45080;AT4G12420;AT4G39030;AT5G02270;AT5G14340;AT5G65430;AT5G67390;
cortex	AHL12	MYB55	21	701	442	0.00739012	0.0785508	1	1	AT1G01360;AT1G10200;AT1G30380;AT1G47480;AT1G52760;AT1G69150;AT2G22470;AT2G27820;AT2G43340;AT3G05150;AT3G05890;AT3G24190;AT3G55720;AT3G57800;AT3G61420;AT4G00430;AT4G12430;AT5G24570;AT5G36180;AT5G65380;AT5G66580;
cortex	AHL12	MYB55_2	19	698	442	0.0257125	0.174971	1	1	AT1G01110;AT1G15820;AT1G27670;AT1G44170;AT1G47480;AT1G52760;AT1G57560;AT2G16580;AT2G20680;AT2G26690;AT2G27820;AT3G05890;AT3G09780;AT3G55720;AT3G61420;AT5G24410;AT5G63595;AT5G66580;AT5G67390;
cortex	AHL12	MYB59	20	846	442	0.0747668	0.299067	1	1	AT1G01360;AT1G10200;AT1G12500;AT1G13195;AT1G30380;AT1G47480;AT1G52760;AT1G69150;AT1G76490;AT2G02780;AT2G22470;AT2G27820;AT3G09780;AT3G24190;AT3G28740;AT4G00430;AT5G03150;AT5G24410;AT5G65380;AT5G66580;
cortex	AHL12	MYC2	38	748	442	1.34771e-09	5.67386e-07	5.95688e-07	2.55849e-05	AT1G01110;AT1G05680;AT1G13195;AT1G14330;AT1G14460;AT1G15640;AT1G15820;AT1G26970;AT1G44170;AT1G44830;AT1G62790;AT1G69150;AT1G69930;AT2G15960;AT2G16980;AT2G17680;AT2G20680;AT2G22470;AT2G34070;AT2G44670;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G18830;AT3G25760;AT3G28740;AT3G61420;AT4G12430;AT4G24275;AT4G32480;AT5G03150;AT5G15900;AT5G24410;AT5G63595;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	MYC3	36	761	442	2.3315e-08	5.26919e-06	1.03052e-05	0.000442612	AT1G01110;AT1G05680;AT1G08630;AT1G14330;AT1G14460;AT1G15640;AT1G15820;AT1G26970;AT1G44170;AT1G62790;AT1G69150;AT2G15960;AT2G16980;AT2G17680;AT2G20680;AT2G22470;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G18830;AT3G24190;AT3G25760;AT3G61420;AT4G12430;AT4G24275;AT4G30170;AT4G32480;AT5G02270;AT5G03150;AT5G15900;AT5G24410;AT5G63595;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	MYC4	32	735	442	8.92209e-07	9.18975e-05	0.000394356	0.0169377	AT1G01110;AT1G05680;AT1G13195;AT1G14330;AT1G14460;AT1G15640;AT1G26970;AT1G44170;AT1G62790;AT1G69150;AT2G02780;AT2G15960;AT2G16980;AT2G17680;AT2G20680;AT2G22470;AT2G44670;AT2G46930;AT3G05890;AT3G07460;AT3G18830;AT3G25760;AT3G61420;AT4G12430;AT4G32480;AT5G02270;AT5G03150;AT5G15900;AT5G24410;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	ORA47	24	695	442	0.000682175	0.0148918	0.301521	1	AT1G05680;AT1G15640;AT1G52760;AT1G57560;AT1G62975;AT1G78100;AT2G15960;AT2G20120;AT2G20880;AT2G27820;AT2G36830;AT2G43340;AT2G46930;AT3G05150;AT3G05890;AT3G25760;AT3G28740;AT3G61420;AT4G12420;AT4G12430;AT5G15900;AT5G23220;AT5G28010;AT5G66580;
cortex	AHL12	ORA47_2	20	628	442	0.00462087	0.0560935	1	1	AT1G01360;AT1G05680;AT1G12500;AT1G27670;AT1G78100;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G65430;
cortex	AHL12	PIF3	28	665	442	8.09786e-06	0.000574948	0.00357925	0.15373	AT1G01110;AT1G05680;AT1G08630;AT1G14330;AT1G15820;AT1G21070;AT1G62790;AT1G69150;AT2G15960;AT2G16580;AT2G16980;AT2G17680;AT2G22470;AT3G05890;AT3G07460;AT3G24190;AT3G61420;AT4G02170;AT4G12430;AT4G19860;AT4G32480;AT5G02270;AT5G15900;AT5G40730;AT5G65090;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	PIF4	30	691	442	2.08559e-06	0.000187704	0.000921833	0.0395929	AT1G01110;AT1G05680;AT1G14330;AT1G14460;AT1G14580;AT1G15640;AT1G26970;AT1G44170;AT1G44830;AT1G69150;AT1G69930;AT2G02780;AT2G15960;AT2G16980;AT2G17680;AT2G22470;AT2G46930;AT3G05890;AT3G07460;AT3G25760;AT3G61420;AT4G12430;AT4G24275;AT4G32480;AT5G02270;AT5G03150;AT5G24410;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	PIF5	24	651	442	0.000269692	0.00734747	0.119204	1	AT1G01110;AT1G05680;AT1G14330;AT1G14460;AT1G27670;AT1G30380;AT1G44170;AT1G69150;AT2G15960;AT2G16580;AT2G16980;AT2G17680;AT2G22470;AT2G46930;AT3G05890;AT3G07460;AT3G24190;AT3G61420;AT4G12430;AT4G32480;AT5G02270;AT5G65380;AT5G65430;AT5G66580;
cortex	AHL12	RAP2.3	17	586	442	0.0198556	0.141566	1	1	AT1G05680;AT1G26970;AT1G27670;AT1G78100;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G24190;AT3G25760;AT3G55720;AT3G57800;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G65430;
cortex	AHL12	RAP2.3_2	16	602	442	0.0459835	0.232899	1	1	AT1G05680;AT1G27670;AT1G78100;AT2G20120;AT2G20880;AT2G36830;AT2G43340;AT2G46930;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G57800;AT3G61420;AT5G02270;AT5G55850;
cortex	AHL12	RAP2.3_3ARY	13	600	442	0.203272	0.507028	1	1	AT1G05680;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G61420;AT5G02270;AT5G55850;
cortex	AHL12	RAP2.6	18	605	442	0.0133998	0.115182	1	1	AT1G05680;AT1G12500;AT1G26970;AT1G27670;AT1G78100;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G55850;AT5G65430;
cortex	AHL12	RAP2.6_2	19	635	442	0.0106514	0.0958628	1	1	AT1G05680;AT1G15640;AT1G21070;AT1G27670;AT1G30380;AT1G76490;AT1G78100;AT2G22470;AT2G36830;AT2G43340;AT2G46930;AT3G07460;AT3G09780;AT3G57800;AT3G61420;AT4G12420;AT4G32480;AT5G02270;AT5G20280;
cortex	AHL12	RAP2.6_3ARY	22	631	442	0.000996763	0.0199353	0.440569	1	AT1G05680;AT1G15640;AT1G30380;AT1G52760;AT1G62790;AT1G69930;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT2G46930;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G12420;AT5G02270;AT5G24570;AT5G65430;
cortex	AHL12	REM1	18	787	442	0.109816	0.376396	1	1	AT1G01110;AT1G15625;AT1G15820;AT1G47480;AT2G04780;AT2G17680;AT2G22470;AT2G34070;AT2G43340;AT3G24190;AT3G57800;AT4G02170;AT4G24275;AT4G30170;AT5G02270;AT5G28010;AT5G47140;AT5G63595;
cortex	AHL12	REM1_2	14	732	442	0.335861	0.545921	1	1	AT1G14330;AT1G15820;AT1G30380;AT1G62790;AT1G78100;AT2G20680;AT3G05890;AT3G07460;AT3G25760;AT3G61420;AT5G02270;AT5G28010;AT5G40730;AT5G66580;
cortex	AHL12	RRTF1	16	608	442	0.0494464	0.247232	1	1	AT1G05680;AT1G12500;AT1G26970;AT1G27670;AT1G78100;AT2G36830;AT2G43340;AT3G05890;AT3G24190;AT3G25760;AT3G55720;AT3G61420;AT4G32480;AT5G02270;AT5G40730;AT5G65430;
cortex	AHL12	RRTF1_2	15	619	442	0.0957788	0.376396	1	1	AT1G05680;AT1G27670;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G57800;AT3G61420;AT4G32480;AT5G02270;AT5G55850;
cortex	AHL12	RRTF1_3ARY	14	601	442	0.131348	0.394044	1	1	AT1G05680;AT1G78100;AT2G20120;AT2G36830;AT2G43340;AT3G05890;AT3G07460;AT3G09780;AT3G24190;AT3G25760;AT3G61420;AT5G02270;AT5G55850;AT5G65430;
cortex	AHL12	RVE1	19	860	442	0.12992	0.389759	1	1	AT1G10200;AT1G13210;AT1G15640;AT1G32400;AT1G44170;AT1G65840;AT1G76490;AT2G04780;AT2G15960;AT3G07460;AT3G57800;AT4G00430;AT4G12430;AT4G24275;AT5G20280;AT5G23220;AT5G40730;AT5G66580;AT5G67390;
cortex	AHL12	RVE1_2	25	982	442	0.0242712	0.169899	1	1	AT1G10200;AT1G12500;AT1G15820;AT1G26970;AT1G44170;AT1G62660;AT1G62975;AT1G76490;AT2G15960;AT2G16580;AT2G16980;AT2G36830;AT3G25760;AT3G28740;AT3G44860;AT4G00430;AT4G10390;AT4G20150;AT4G24275;AT4G30170;AT5G24570;AT5G28010;AT5G44020;AT5G66580;AT5G67390;
cortex	AHL12	SPL1	16	730	442	0.161773	0.48532	1	1	AT1G01110;AT1G05680;AT1G08630;AT1G14330;AT1G21070;AT1G27670;AT1G52760;AT1G78100;AT2G43340;AT2G46930;AT3G57800;AT4G00430;AT4G12520;AT4G19860;AT4G35320;AT5G65090;
cortex	AHL12	SPL1_2	19	726	442	0.0361402	0.216841	1	1	AT1G01360;AT1G05680;AT1G08630;AT1G12500;AT1G14330;AT1G27670;AT1G52760;AT1G78100;AT2G20880;AT2G34070;AT2G36830;AT2G43340;AT3G05150;AT3G57800;AT3G61420;AT4G12520;AT4G19860;AT5G65090;AT5G65380;
cortex	AHL12	SPL7	18	705	442	0.0494278	0.247139	1	1	AT1G05680;AT1G08630;AT1G12500;AT1G14330;AT1G27670;AT1G52760;AT1G78100;AT2G36830;AT2G43340;AT2G44670;AT3G07460;AT3G18830;AT3G57800;AT3G61420;AT4G12520;AT4G19860;AT5G20280;AT5G23220;
cortex	AHL12	STY1	6	598	442	0.934829	0.934829	1	1	AT1G01110;AT1G08630;AT1G13210;AT3G61420;AT4G39030;AT5G23220;
cortex	AHL12	STY1_2	19	659	442	0.0152047	0.121638	1	1	AT1G07650;AT1G13210;AT1G57560;AT2G20680;AT2G25770;AT2G27820;AT3G05150;AT3G05890;AT3G24120;AT3G45080;AT3G61420;AT4G10390;AT4G32480;AT5G02230;AT5G15900;AT5G20280;AT5G24570;AT5G55850;AT5G65430;
